,gw_eui,timestamp_unix_millis,timestamp_utc_iso_string,rssi_dbm,snr_db,distance_to_gw_km,land_or_sea,gw_lon_deg_wgs84,gw_lat_deg_wgs84,dev_lon_deg_wgs84,dev_lat_deg_wgs84
6447,7076FF0056060728,1647968906010,2022-03-22T17:08:26.010Z,-107,9.5,10.133,sea,-27.318886,38.730125,-27.271442,38.646863
6449,7076FF0056060728,1647969043800,2022-03-22T17:10:43.800Z,-101,9.2,10.292,sea,-27.318874,38.730133,-27.276395,38.643718
6453,7076FF0056060728,1647969182165,2022-03-22T17:13:02.165Z,-105,8.5,10.422,sea,-27.318857,38.730164,-27.281547,38.641073
6461,7076FF0056060728,1647969459540,2022-03-22T17:17:39.540Z,-112,6.8,10.74,sea,-27.318806,38.730186,-27.292165,38.635868
6464,7076FF0056060728,1647969736510,2022-03-22T17:22:16.510Z,-102,10.0,11.187,sea,-27.318823,38.730175,-27.302673,38.630358
6465,7076FF0056060728,1647969875610,2022-03-22T17:24:35.610Z,-106,10.0,11.441,sea,-27.31886,38.73014,-27.307948,38.627603
6468,7076FF0056060728,1647970013090,2022-03-22T17:26:53.090Z,-111,5.2,11.707,sea,-27.318834,38.730137,-27.31309,38.624945
6471,7076FF0056060728,1647970150595,2022-03-22T17:29:10.595Z,-106,7.2,12.005,sea,-27.318848,38.73019,-27.31822,38.62223
6473,7076FF0056060728,1647970289143,2022-03-22T17:31:29.143Z,-107,9.5,12.297,sea,-27.318823,38.730145,-27.32348,38.619613
6475,7076FF0056060728,1647970428030,2022-03-22T17:33:48.030Z,-100,9.5,12.608,sea,-27.318846,38.730137,-27.328762,38.617013
6478,7076FF0056060728,1647970566840,2022-03-22T17:36:06.840Z,-109,8.0,12.936,sea,-27.318844,38.73015,-27.33391,38.614412
6482,7076FF0056060728,1647970704635,2022-03-22T17:38:24.635Z,-102,8.2,13.29,sea,-27.318789,38.73013,-27.339008,38.61166
6483,7076FF0056060728,1647970842720,2022-03-22T17:40:42.720Z,-107,7.5,13.633,sea,-27.318838,38.730175,-27.344213,38.609185
6487,7076FF0056060728,1647970980853,2022-03-22T17:43:00.853Z,-104,7.2,14.011,sea,-27.318823,38.730133,-27.349373,38.606408
6490,7076FF0056060728,1647971118350,2022-03-22T17:45:18.350Z,-108,8.8,14.385,sea,-27.318808,38.73015,-27.354532,38.603825
6495,7076FF0056060728,1647971255800,2022-03-22T17:47:35.800Z,-108,8.5,14.777,sea,-27.318834,38.730114,-27.359728,38.601118
6502,7076FF0056060728,1647971393700,2022-03-22T17:49:53.700Z,-105,6.8,15.176,sea,-27.318813,38.730114,-27.36493,38.598472
6505,7076FF0056060728,1647971531645,2022-03-22T17:52:11.645Z,-106,8.8,15.591,sea,-27.318806,38.730118,-27.370003,38.595723
6506,7076FF0056060728,1647971669930,2022-03-22T17:54:29.930Z,-106,7.8,16.017,sea,-27.31884,38.730125,-27.3751,38.592948
6509,7076FF0056060728,1647971808510,2022-03-22T17:56:48.510Z,-110,5.8,16.449,sea,-27.318819,38.73013,-27.380248,38.590192
6511,7076FF0056060728,1647971947750,2022-03-22T17:59:07.750Z,-105,9.8,16.891,sea,-27.318813,38.730125,-27.385432,38.587405
6514,7076FF0056060728,1647972086735,2022-03-22T18:01:26.735Z,-106,8.2,17.348,sea,-27.318813,38.730137,-27.390365,38.584473
6519,7076FF0056060728,1647972361756,2022-03-22T18:06:01.756Z,-106,8.5,18.263,sea,-27.318838,38.73012,-27.400438,38.578747
6522,7076FF0056060728,1647972500486,2022-03-22T18:08:20.486Z,-107,9.8,18.757,sea,-27.318838,38.73011,-27.405347,38.575545
6524,7076FF0056060728,1647972637830,2022-03-22T18:10:37.830Z,-107,6.0,19.258,sea,-27.318813,38.730133,-27.410153,38.572313
6527,7076FF0056060728,1647972775380,2022-03-22T18:12:55.380Z,-108,6.8,19.749,sea,-27.318857,38.730137,-27.414995,38.569185
6528,7076FF0056060728,1647972914370,2022-03-22T18:15:14.370Z,-108,8.2,20.242,sea,-27.318836,38.730133,-27.419892,38.56609
6531,7076FF0056060728,1647973053160,2022-03-22T18:17:33.160Z,-106,8.5,20.741,sea,-27.318834,38.730137,-27.424767,38.562958
6533,7076FF0056060728,1647973191520,2022-03-22T18:19:51.520Z,-102,8.5,21.226,sea,-27.318836,38.730133,-27.429707,38.560012
6535,7076FF0056060728,1647973329315,2022-03-22T18:22:09.315Z,-108,6.5,21.716,sea,-27.318823,38.730125,-27.434725,38.557073
6539,7076FF0056060728,1647973468480,2022-03-22T18:24:28.480Z,-111,5.5,22.213,sea,-27.318825,38.730125,-27.43986,38.554147
6543,7076FF0056060728,1647973607260,2022-03-22T18:26:47.260Z,-114,5.0,22.708,sea,-27.318832,38.73015,-27.444922,38.55125
6546,7076FF0056060728,1647973746480,2022-03-22T18:29:06.480Z,-112,8.0,23.224,sea,-27.318819,38.730145,-27.44995,38.548125
6548,7076FF0056060728,1647973885560,2022-03-22T18:31:25.560Z,-117,5.2,23.729,sea,-27.318838,38.730145,-27.454962,38.54512
6550,7076FF0056060728,1647974024370,2022-03-22T18:33:44.370Z,-107,7.0,24.232,sea,-27.31883,38.730118,-27.459932,38.542122
6554,7076FF0056060728,1647974163550,2022-03-22T18:36:03.550Z,-109,5.5,24.735,sea,-27.318834,38.73011,-27.465203,38.539293
6558,7076FF0056060728,1647974302645,2022-03-22T18:38:22.645Z,-106,7.0,25.243,sea,-27.31882,38.730118,-27.47024,38.536348
6560,7076FF0056060728,1647974440840,2022-03-22T18:40:40.840Z,-109,8.2,25.753,sea,-27.318827,38.73012,-27.475372,38.53344
6562,7076FF0056060728,1647974579030,2022-03-22T18:42:59.030Z,-106,8.2,26.266,sea,-27.318846,38.730114,-27.480437,38.530452
6569,7076FF0056060728,1647974716480,2022-03-22T18:45:16.480Z,-109,7.0,26.775,sea,-27.318842,38.73011,-27.48556,38.527582
6573,7076FF0056060728,1647974854360,2022-03-22T18:47:34.360Z,-108,6.5,27.299,sea,-27.31884,38.730125,-27.490488,38.524478
6581,7076FF0056060728,1647974995520,2022-03-22T18:49:55.520Z,-107,7.8,27.823,sea,-27.318857,38.73013,-27.495552,38.52144
6583,7076FF0056060728,1647975134635,2022-03-22T18:52:14.635Z,-113,3.2,28.376,sea,-27.31884,38.730103,-27.500622,38.518078
6587,7076FF0056060728,1647975275425,2022-03-22T18:54:35.425Z,-109,6.5,28.899,sea,-27.318842,38.73011,-27.505687,38.515082
6592,7076FF0056060728,1647975413145,2022-03-22T18:56:53.145Z,-114,4.8,29.432,sea,-27.318815,38.730103,-27.510712,38.51197
6597,7076FF0056060728,1647975550770,2022-03-22T18:59:10.770Z,-111,5.2,29.961,sea,-27.318823,38.730106,-27.515682,38.508875
6606,7076FF0056060728,1647975689090,2022-03-22T19:01:29.090Z,-113,3.8,30.486,sea,-27.318815,38.730133,-27.520625,38.505848
6615,7076FF0056060728,1647975826740,2022-03-22T19:03:46.740Z,-118,3.5,30.996,sea,-27.318825,38.7301,-27.525593,38.502933
6620,7076FF0056060728,1647975964480,2022-03-22T19:06:04.480Z,-112,5.5,31.518,sea,-27.318817,38.730114,-27.530688,38.500032
6622,7076FF0056060728,1647976105590,2022-03-22T19:08:25.590Z,-115,2.2,32.04,sea,-27.318832,38.73012,-27.535883,38.497172
6624,7076FF0056060728,1647976244740,2022-03-22T19:10:44.740Z,-112,5.2,32.574,sea,-27.318834,38.73013,-27.54107,38.494208
6626,7076FF0056060728,1647976383380,2022-03-22T19:13:03.380Z,-111,5.2,33.097,sea,-27.318827,38.730137,-27.54616,38.491308
6629,7076FF0056060728,1647976521400,2022-03-22T19:15:21.400Z,-111,6.8,33.63,sea,-27.318819,38.730118,-27.551132,38.488215
6630,7076FF0056060728,1647976658680,2022-03-22T19:17:38.680Z,-119,2.2,34.178,sea,-27.318848,38.730125,-27.556105,38.484965
6632,7076FF0056060728,1647976797710,2022-03-22T19:19:57.710Z,-113,4.5,34.734,sea,-27.31883,38.73014,-27.56127,38.48178
6635,7076FF0056060728,1647976935165,2022-03-22T19:22:15.165Z,-117,1.8,35.282,sea,-27.31886,38.73011,-27.56629,38.478537
6636,7076FF0056060728,1647977072860,2022-03-22T19:24:32.860Z,-114,5.0,35.836,sea,-27.318848,38.73013,-27.571452,38.47538
6639,7076FF0056060728,1647977350510,2022-03-22T19:29:10.510Z,-110,8.0,36.95,sea,-27.318876,38.730156,-27.581643,38.468903
6642,7076FF0056060728,1647977489640,2022-03-22T19:31:29.640Z,-113,6.2,37.504,sea,-27.318857,38.73015,-27.586977,38.465862
6643,7076FF0056060728,1647977627320,2022-03-22T19:33:47.320Z,-110,6.2,38.052,sea,-27.318855,38.730167,-27.592088,38.462768
6646,7076FF0056060728,1647977765370,2022-03-22T19:36:05.370Z,-110,6.5,38.611,sea,-27.318855,38.73015,-27.597278,38.459553
6647,7076FF0056060728,1647977903130,2022-03-22T19:38:23.130Z,-108,7.2,39.178,sea,-27.318853,38.730152,-27.602453,38.456282
6649,7076FF0056060728,1647978041520,2022-03-22T19:40:41.520Z,-112,5.5,39.731,sea,-27.31886,38.730164,-27.607793,38.453272
6651,7076FF0056060728,1647978179970,2022-03-22T19:42:59.970Z,-112,6.8,40.298,sea,-27.318876,38.730186,-27.613155,38.450133
6653,7076FF0056060728,1647978318310,2022-03-22T19:45:18.310Z,-117,1.0,40.855,sea,-27.318884,38.730186,-27.618355,38.446983
6656,7076FF0056060728,1647978456730,2022-03-22T19:47:36.730Z,-112,4.5,41.422,sea,-27.318848,38.730145,-27.623635,38.443765
6658,7076FF0056060728,1647978595230,2022-03-22T19:49:55.230Z,-120,1.2,41.985,sea,-27.31888,38.730137,-27.628988,38.440645
